"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1877064158950126008","Wed Jan 08 18:45:44 +0000 2025","1","Dilansir ESPN. Setelah pemecatan Shin Tae-Yong legenda timnas belanda yaitu Patrick Kluivert diumumkan PSSI sebagai pelatih baru timnas Indonesia #Timnas #PSSI #PatrickKluivert #ESPN https://t.co/v01IbLKGL7","1877064158950126008","https://pbs.twimg.com/media/Ggyr56tbMAAOaFL.jpg","","in","Kota Palembang, Sumatera Selat","0","0","0","https://x.com/Hock3y08/status/1877064158950126008","1745725517180084224","Hock3y08"
"1877063755873259685","Wed Jan 08 18:44:08 +0000 2025","0","Gantikan Shin Tae-yong Patrick Kluivert Didapuk Sebagai Pelatih Timnas Indonesia https://t.co/LBbXhIvhgL","1877063755873259685","","","in","Cikarang Utara - Bekasi","0","0","0","https://x.com/_beritacikarang/status/1877063755873259685","488963859","_beritacikarang"
"1877040475988758838","Wed Jan 08 18:35:12 +0000 2025","1","@el_bapa @ftblindonesia gw lebih penasaran sama asisten pelatih nya sih si alex pastoor dari pada patrick Kluivert itu sendiri ","1877061509282410811","","el_bapa","in","Kota Padang, Sumatera Barat","0","0","0","https://x.com/Andhika17052010/status/1877061509282410811","1477641304767025155","Andhika17052010"
"1877027503946051683","Wed Jan 08 18:26:19 +0000 2025","144","@aingriwehuy Orang yang ngetawain &amp; ngejokes tentang Patrick Kluivert mungkin dia belum ketemu langsung. Sebaik dan sehumble itu dia sama orang baru salah satunya gw. Gw yg awalnya ga kenal sekarang malah jadi temen. Semua yang udah ketemu dia juga pasti setuju sama pendapat gw","1877059272204329429","","aingriwehuy","in","","7","95","11","https://x.com/MuhamadSubki15/status/1877059272204329429","1350706038354309121","MuhamadSubki15"
"1877008718292029841","Wed Jan 08 18:02:19 +0000 2025","0","@SiaranBolaLive @kimsamsul77 Patrick Kluivert di hormati pemain dan pelatih profesional di Eropa sebagai legenda Belanda dan barcelona.","1877053232121307461","","SiaranBolaLive","in","","0","0","0","https://x.com/Thieryaryadi/status/1877053232121307461","2372879725","Thieryaryadi"
"1877052795020271978","Wed Jan 08 18:00:34 +0000 2025","0","Patrick Kluivert jadi Pelatih Timnas Indonesia Bung Kus Berkomentar Begini https://t.co/xLJtnHb5C8","1877052795020271978","","","in","Indonesia","0","0","0","https://x.com/MSNindonesia/status/1877052795020271978","262026799","MSNindonesia"
"1877052665013883123","Wed Jan 08 18:00:03 +0000 2025","0","Resmi Latih Timnas Indonesia Patrick Kluivert Dikontrak Dua Tahun https://t.co/shwEyXL0lE","1877052665013883123","","","in","Makassar","0","0","0","https://x.com/SINDOmakassar/status/1877052665013883123","3467685613","SINDOmakassar"
"1877043378694619641","Wed Jan 08 17:23:09 +0000 2025","0","Latih Timnas Indonesia Patrick Kluivert Butuh Dukungan Suporter https://t.co/MpTznIs8Yu https://t.co/xlkQIrKxin","1877043378694619641","https://pbs.twimg.com/media/GgyZAWxXsAAjYTK.jpg","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/Harian_Jogja/status/1877043378694619641","118371948","Harian_Jogja"
"1877043224063234499","Wed Jan 08 17:22:33 +0000 2025","0","Patrick Kluivert : Kita main dengan skema 2 scatter eh striker maksudnya hehehe ","1877043224063234499","","","in","Sleman, Indonesia","0","0","0","https://x.com/yogaperdana_id/status/1877043224063234499","546435342","yogaperdana_id"
"1876961789381951778","Wed Jan 08 17:19:37 +0000 2025","0","@jebreeetmedia @OkiRengga33 jawabannya dari pertanyaan bang oki adalah yg mau dan yg kosong cuma patrick kluivert bang ki","1877042487732150335","","jebreeetmedia","in","","0","0","0","https://x.com/blueberyfaygo/status/1877042487732150335","1207485031645495298","blueberyfaygo"
